#GROUP	INDEX	MIN_GQ	MIN_DP
ELF	0,13,50,59,64,100,102,113,140,151,153,154,160,167,172,185,191,193,214,218,222,229,250,268,295	15	5
GRA	1,5,18,19,35,46,66,75,89,123,124,127,138,175,207,208,244,260,263,270,285,298,307,311	15	5
SEV	2,15,24,30,97,147,180,188,190,197,258,275	15	5
JENN	3,142,186,231,308	15	5
BBI	4,23,65,79,83,90,130,155,159,174,181,187,198,205,224,238,242,245,274,278,281,288,303,304	15	5
GRF	6,29,52,58,92,120,132,133,271	15	5
BPNP	7,44,47,54,84,88,157,164,195,269	15	5
THR	8,42,43,48,176,183,189,251,257,283	15	5
GOU	9,10,26,78,81,107,125,152,168,204,215,232,233,239,247,282,294	15	5
HAL	11,33,49,103,115,122,149,203,206,249,253,272,306	15	5
SPVY	12,22,61,137,161,241,252,265,289,302	15	5
MAN	14,36,55,62,98,105,135,143,150,177,178,230,246,262,296,297	15	5
MOSQ	16,32,57,63,82,96,158,179,223,310	15	5
ONS	17,21,56,76,237,264,277,300	15	5
CCRO	20,25,34,37,38,72,94,99,171,194,280	15	5
KBPP	27,31,45,104,116,145,173	15	5
HUR	28,68,108,114,128,209,219,266	15	5
CEBO	39,67,87,112,118,202,255,290,305	15	5
PCC	40,70,71,74,101,121,126,129,131,144,162,182,184,192,200,216,220,225,226,234,240,254,273,284,292	15	5
PRDF	41,86,93,148,169,170,227,248,259,267	15	5
SSSP	51,119,156,165,210,212,221,261,293,312	15	5
KLDR	53,60,69,80,85,95,141,235,243,286	15	5
WLRD	73,77,106,111,136,166,211,256,279,299	15	5
ROME	91,117,146,196,199,201,217,228	15	5
OTI	109,134,163,236,287,291	15	5
ATL	110,276	15	5
DEL	139,309	15	5
BAS	213	15	5
GRLL	301	15	5
