#GROUP	INDEX	MIN_GQ	MIN_DP
ELF	0,11,34,41,43,65,67,75,98,105,107,108,111,115,117,128,134,136,150,153,156,161,178,194,216	15	5
GRA	1,5,15,16,31,45,50,59,82,83,86,96,119,145,146,174,187,190,195,209,219,225,227	15	5
SEV	2,13,19,23,62,102,123,131,133,138,185,200	15	5
JENN	3,99,129,163	15	5
BBI	4,18,44,54,56,89,109,110,118,124,130,139,143,157,170,173,175,199,203,205,211,222,223	15	5
GRF	6,22,36,40,60,79,91,92,196	15	5
THR	7,29,30,32,120,126,132,179,184,207	15	5
GOU	8,9,20,53,55,70,84,106,116,142,151,164,165,171,206,215	15	5
HAL	10,24,33,68,77,81,103,141,144,177,181,197,224	15	5
MAN	12,25,38,42,63,69,94,100,104,121,122,162,176,189,217,218	15	5
ONS	14,17,39,51,169,191,202,220	15	5
HUR	21,46,71,76,87,147,154,193	15	5
CCRO	26,64,204	15	5
PCC	27,47,48,49,66,80,85,88,90,101,112,125,127,135,140,152,155,158,159,166,172,182,198,208,213	15	5
PRDF	28,58,61,186	15	5
SSSP	35,78,114,188,214	15	5
KLDR	37,57,167	15	5
WLRD	52,148,183	15	5
OTI	72,93,113,168,210,212	15	5
ATL	73,201	15	5
CEBO	74	15	5
SPVY	95,180,192	15	5
DEL	97,226	15	5
BPNP	137	15	5
BAS	149	15	5
ROME	160	15	5
GRLL	221	15	5
