SRR24709740	KBPP_sca0142
SRR24709739	KBPP_sca0143
SRR24709711	KBPP_sca0144
SRR24709668	KBPP_sca0180
SRR24709657	KBPP_sca0186
SRR24709646	KBPP_sca0226
SRR24709699	KBPP_sca0236
SRR24709688	KBPP_sca0242
SRR24709677	KBPP_sca0254
SRR24709634	KBPP_sca0260
SRR24709738	BPNP_sca461
SRR24709727	BPNP_Sca465
SRR24709719	BPNP_Sca472
SRR24709718	BPNP_Sca529
SRR24709717	BPNP_Sca531
SRR24709716	BPNP_Sca549
SRR24709715	BPNP_Sca600
SRR24709714	BPNP_Sca604
SRR24709713	BPNP_Sca636
SRR24709712	BPNP_Sca651
SRR24709710	ROME_sca0673
SRR24709709	ROME_sca0678
SRR24709676	KLDR_sca0689
SRR24709675	KLDR_sca0693
SRR24709674	KLDR_sca0694
SRR24709673	KLDR_sca0700
SRR24709672	KLDR_sca0707
SRR24709671	KLDR_sca0708
SRR24709670	KLDR_sca0709
SRR24709669	ROME_sca0713
SRR24709667	ROME_sca0724
SRR24709666	ROME_sca0729
SRR24709665	SPVY_sca0732
SRR24709664	KLDR_sca0734
SRR24709663	KLDR_sca0742
SRR24709662	SPVY_sca0744
SRR24709661	KLDR_sca0750
SRR24709660	SSSP_sca0801
SRR24709659	SSSP_sca0802
SRR24709658	SSSP_sca0807
SRR24709656	SSSP_sca0808
SRR24709655	SSSP_sca0809
SRR24709654	SSSP_sca0810
SRR24709653	SSSP_sca0812
SRR24709652	MOSQ_sca0863
SRR24709651	SPVY_sca0884
SRR24709650	SPVY_sca0885
SRR24709649	SPVY_sca0886
SRR24709648	SPVY_sca0887
SRR24709647	SPVY_sca0888
SRR24709645	MOSQ_sca0893
SRR24709708	JENN_Sca901
SRR24709707	JENN_Sca903
SRR24709706	JENN_Sca905
SRR24709705	JENN_Sca917
SRR24709704	JENN_Sca919
SRR24709703	CCRO_sca0924
SRR24709702	CCRO_sca0925
SRR24709701	CCRO_sca0926
SRR24709700	CCRO_sca0931
SRR24709698	CCRO_sca0932
SRR24709697	CCRO_sca0933
SRR24709696	MOSQ_sca0939
SRR24709695	MOSQ_sca0940
SRR24709694	CCRO_sca0962
SRR24709693	CCRO_sca0965
SRR24709692	CCRO_sca0966
SRR24709691	CCRO_sca0967
SRR24709690	CCRO_sca0968
SRR24709689	SSSP_sca0978
SRR24709687	SSSP_sca0979
SRR24709686	SSSP_sca0980
SRR24709685	SSSP_sca0982
SRR24709684	MOSQ_sca1018
SRR24709683	MOSQ_sca1019
SRR24709682	MOSQ_sca1020
SRR24709681	SPVY_sca1023
SRR24709680	MOSQ_sca1026
SRR24709679	PRDF_sca1027
SRR24709678	PRDF_sca1028
SRR24709644	PRDF_sca1029
SRR24709643	PRDF_sca1030
SRR24709642	SPVY_sca1031
SRR24709641	MOSQ_sca1035
SRR24709640	PRDF_sca1036
SRR24709639	PRDF_sca1037
SRR24709638	PRDF_sca1038
SRR24709637	MOSQ_sca1050
SRR24709636	PRDF_sca1055
SRR24709635	PRDF_sca1057
SRR24709633	SPVY_sca1058
SRR24709632	PRDF_sca1078
SRR24709631	WLRD_Sca1223
SRR24709630	WLRD_Sca1224
SRR24709629	WLRD_Sca1227
SRR24709628	WLRD_Sca1228
SRR24709627	WLRD_Sca1229
SRR24709626	WLRD_Sca1230
SRR24709625	WLRD_Sca1231
SRR24709624	WLRD_Sca1259
SRR24709737	WLRD_Sca1266
SRR24709736	ROME_sca1272
SRR24709735	ROME_sca1372
SRR24709734	ROME_sca1379
SRR24709733	ROME_sca1381
SRR24709732	ROME_sca1395
SRR24709731	GRLL_sca1453
SRR24709730	WLRD_Sca1515
SRR24709729	CEBO_sca1529
SRR24709728	CEBO_sca1530
SRR24709726	CEBO_sca1531
SRR24709725	CEBO_sca1532
SRR24709724	CEBO_sca1535
SRR24709723	CEBO_sca1536
SRR24709722	CEBO_sca1541
SRR24709721	CEBO_sca1542
SRR24709720	CEBO_sca1543
