type	column	total	realized	potential
HIGH	5	208	8	14
HIGH	6	208	10	13
HIGH	7	208	4	18
HIGH	8	208	7	19
HIGH	9	208	10	12
HIGH	10	208	9	17
HIGH	11	208	8	15
HIGH	12	208	4	22
HIGH	13	208	5	23
HIGH	14	208	7	15
HIGH	15	208	7	12
HIGH	16	208	3	12
HIGH	17	208	9	17
HIGH	18	208	5	15
HIGH	19	208	9	16
HIGH	20	208	8	16
HIGH	21	208	5	18
HIGH	22	208	6	16
HIGH	23	208	15	12
HIGH	24	208	4	20
HIGH	25	208	4	19
HIGH	26	208	7	17
HIGH	27	208	7	18
HIGH	28	208	6	18
HIGH	29	208	6	15
HIGH	30	208	5	17
HIGH	31	208	8	15
HIGH	32	208	8	8
HIGH	33	208	7	20
HIGH	34	208	5	23
HIGH	35	208	9	13
HIGH	36	208	11	10
HIGH	37	208	8	10
HIGH	38	208	5	19
HIGH	39	208	11	14
HIGH	40	208	8	23
HIGH	41	208	2	13
HIGH	42	208	8	17
HIGH	43	208	5	23
HIGH	44	208	8	10
HIGH	45	208	3	15
HIGH	46	208	9	11
HIGH	47	208	10	14
HIGH	48	208	12	17
HIGH	49	208	10	14
HIGH	50	208	3	17
HIGH	51	208	7	15
HIGH	52	208	3	22
HIGH	53	208	5	17
HIGH	54	208	10	10
HIGH	55	208	8	17
HIGH	56	208	5	14
HIGH	57	208	7	17
HIGH	58	208	8	16
HIGH	59	208	6	18
HIGH	60	208	8	18
HIGH	61	208	8	14
HIGH	62	208	9	13
HIGH	63	208	9	13
HIGH	64	208	5	18
HIGH	65	208	4	16
HIGH	66	208	7	12
HIGH	67	208	5	20
HIGH	68	208	9	11
HIGH	69	208	4	21
HIGH	70	208	9	7
HIGH	71	208	7	20
HIGH	72	208	5	20
HIGH	73	208	4	21
HIGH	74	208	6	22
HIGH	75	208	6	14
HIGH	76	208	7	17
HIGH	77	208	10	20
HIGH	78	208	5	9
HIGH	79	208	4	21
HIGH	80	208	10	18
HIGH	81	208	9	9
HIGH	82	208	5	16
HIGH	83	208	10	12
HIGH	84	208	6	16
HIGH	85	208	9	13
HIGH	86	208	9	17
HIGH	87	208	5	16
HIGH	88	208	5	14
HIGH	89	208	11	17
HIGH	90	208	5	21
HIGH	91	208	8	15
HIGH	92	208	13	7
HIGH	93	208	6	18
HIGH	94	208	8	16
HIGH	95	208	6	12
HIGH	96	208	5	11
HIGH	97	208	10	18
HIGH	98	208	8	16
HIGH	99	208	8	13
HIGH	100	208	10	21
HIGH	101	208	5	19
HIGH	102	208	5	17
HIGH	103	208	7	14
HIGH	104	208	8	12
HIGH	105	208	4	18
HIGH	106	208	7	15
HIGH	107	208	8	16
HIGH	108	208	6	17
HIGH	109	208	9	13
HIGH	110	208	6	17
HIGH	111	208	4	17
HIGH	112	208	12	12
HIGH	113	208	11	16
HIGH	114	208	6	12
HIGH	115	208	3	14
HIGH	116	208	5	12
HIGH	117	208	5	18
HIGH	118	208	5	20
HIGH	119	208	4	19
HIGH	120	208	11	15
HIGH	121	208	9	20
HIGH	122	208	2	24
HIGH	123	208	9	21
HIGH	124	208	8	15
HIGH	125	208	6	17
HIGH	126	208	14	7
HIGH	127	208	4	13
HIGH	128	208	2	19
HIGH	129	208	5	20
HIGH	130	208	4	21
HIGH	131	208	6	13
HIGH	132	208	10	13
HIGH	133	208	7	13
HIGH	134	208	7	10
HIGH	135	208	6	18
HIGH	136	208	5	17
HIGH	137	208	5	18
HIGH	138	208	5	11
HIGH	139	208	6	14
HIGH	140	208	5	14
HIGH	141	208	8	18
HIGH	142	208	6	19
HIGH	143	208	6	17
HIGH	144	208	5	21
HIGH	145	208	9	16
