"CHROM"	"BEG"	"END"
"Scate-un3"	"1460193060"	"1461824808"
"Scate-un4"	"1461824809"	"1463303652"
"Scate-un5"	"1463303653"	"1464615033"
"Scate-un6"	"1464615034"	"1465879563"
"Scate-un7"	"1465879564"	"1466835790"
"Scate-un8"	"1466835791"	"1467790951"
"Scate-un9"	"1467790952"	"1468675203"
"Scate-un10"	"1468675204"	"1469539190"
"Scate-un11"	"1469539191"	"1470383109"
"Scate-un12"	"1470383110"	"1471218375"
"Scate-un13"	"1471218376"	"1472018645"
"Scate-un14"	"1472018646"	"1472800203"
"Scate-un15"	"1472800204"	"1473444592"
"Scate-un16"	"1473444593"	"1474065118"
"Scate-un17"	"1474065119"	"1474661537"
"Scate-un18"	"1474661538"	"1475245336"
"Scate-un19"	"1475245337"	"1475787479"
"Scate-un20"	"1475787480"	"1476327651"
"Scate-un21"	"1476327652"	"1476864997"
"Scate-un22"	"1476864998"	"1477360339"
"Scate-un23"	"1477360340"	"1477851925"
"Scate-un24"	"1477851926"	"1478314771"
"Scate-un25"	"1478314772"	"1478763826"
"Scate-un26"	"1478763827"	"1479175921"
"Scate-un27"	"1479175922"	"1479584364"
"Scate-un28"	"1479584365"	"1479989477"
"Scate-un29"	"1479989478"	"1480352308"
"Scate-un30"	"1480352309"	"1480709084"
"Scate-un31"	"1480709085"	"1481063622"
"Scate-un32"	"1481063623"	"1481415444"
"Scate-un33"	"1481415445"	"1481755327"
"Scate-un34"	"1481755328"	"1482085222"
"Scate-un35"	"1482085223"	"1482406293"
"Scate-un36"	"1482406294"	"1482715701"
"Scate-un37"	"1482715702"	"1483016521"
"Scate-un38"	"1483016522"	"1483313543"
"Scate-un39"	"1483313544"	"1483593511"
"Scate-un40"	"1483593512"	"1483867731"
"Scate-un41"	"1483867732"	"1484136793"
"Scate-un42"	"1484136794"	"1484404627"
"Scate-un43"	"1484404628"	"1484668743"
"Scate-un44"	"1484668744"	"1484932363"
"Scate-un45"	"1484932364"	"1485187253"
"Scate-un46"	"1485187254"	"1485441869"
"Scate-un47"	"1485441870"	"1485695913"
"Scate-un48"	"1485695914"	"1485940024"
"Scate-un49"	"1485940025"	"1486180248"
"Scate-un50"	"1486180249"	"1486418859"
"Scate-un51"	"1486418860"	"1486633267"
"Scate-un52"	"1486633268"	"1486840060"
"Scate-un53"	"1486840061"	"1487046163"
"Scate-un54"	"1487046164"	"1487251147"
"Scate-un55"	"1487251148"	"1487455013"
"Scate-un56"	"1487455014"	"1487657162"
"Scate-un57"	"1487657163"	"1487855003"
"Scate-un58"	"1487855004"	"1488052183"
"Scate-un59"	"1488052184"	"1488249167"
"Scate-un60"	"1488249168"	"1488445773"
"Scate-un61"	"1488445774"	"1488640734"
"Scate-un62"	"1488640735"	"1488829354"
"Scate-un63"	"1488829355"	"1489017208"
"Scate-un64"	"1489017209"	"1489204468"
"Scate-un65"	"1489204469"	"1489391372"
"Scate-un66"	"1489391373"	"1489575796"
"Scate-un67"	"1489575797"	"1489756762"
"Scate-un68"	"1489756763"	"1489936732"
"Scate-un69"	"1489936733"	"1490116380"
"Scate-un70"	"1490116381"	"1490294871"
"Scate-un71"	"1490294872"	"1490471766"
"Scate-un72"	"1490471767"	"1490613748"
